cluster_id,category,complaints,start_date,end_date,active_months,trend_raw,severity_mean,lat,lon,wards,outgoing_relation_strength,incoming_relation_strength,out_degree,in_degree,frequency_score,persistence_score,trend_score,severity_score,density_score,network_score,priority_score_v4,priority_rank,frequency_component,persistence_component,trend_component,severity_component,density_component,network_component,connected_categories,priority_score_v7,priority_level,recommended_action,why_priority,priority_rank_v7,municipal_insight
74,Waterlogging,57,2024-01-30,2026-07-23,29,0.0078947368421052,3.789473684210526,23.151652714035087,79.92897302807019,"12,13",1.418,1.593,2.0,2.0,91.8933405122194,100.0,1.3157894736842086,74.79224376731302,35.10971786833856,63.16341514579401,65.21,1,91.8933405122194,100.0,1.3157894736841993,74.79224376731302,35.10971786833856,63.163415145794,Drainage;Garbage Collection,65.08,HIGH,"Inspect drainage network, blockage points and recurring water-accumulation locations.",long persistence; high severity; high complaint frequency,1,"HIGH priority Waterlogging hotspot in ward(s) 12,13: 57 complaints across 29 active months. Associated problems: Drainage;Garbage Collection. Why: long persistence; high severity; high complaint frequency. Action: Inspect drainage network, blockage points and recurring water-accumulation locations."
7,Drainage,71,2024-01-01,2026-08-22,28,-0.00702160175127,2.816901408450704,23.15058634366197,79.92949537464789,"10,12,13,14",1.629,1.604,2.0,2.0,100.0,96.29629629629628,0.0,44.54478064559606,55.84415584415584,67.82043213761277,62.71,2,100.0,96.29629629629629,0.0,44.54478064559606,55.84415584415584,67.82043213761276,Garbage Collection;Waterlogging,62.32,HIGH,"Inspect drainage network, blockage points and recurring water-accumulation locations.",long persistence; high complaint frequency; strong connection to other urban problems,2,"HIGH priority Drainage hotspot in ward(s) 10,12,13,14: 71 complaints across 28 active months. Associated problems: Garbage Collection;Waterlogging. Why: long persistence; high complaint frequency; strong connection to other urban problems. Action: Inspect drainage network, blockage points and recurring water-accumulation locations."
20,Garbage Collection,71,2024-03-08,2026-08-07,26,-0.0036660452145576,2.915492957746479,23.15099944788733,79.92947910281691,"12,13,14",1.638,1.488,2.0,2.0,100.0,88.88888888888889,0.0,47.61102500168476,62.93706293706294,65.5758338577722,62.28,3,100.0,88.88888888888889,0.0,47.61102500168476,62.93706293706294,65.57583385777218,Drainage;Waterlogging,61.71,HIGH,Inspect collection coverage and recurring dumping points; verify collection frequency.,long persistence; high complaint frequency; strong connection to other urban problems,3,"HIGH priority Garbage Collection hotspot in ward(s) 12,13,14: 71 complaints across 26 active months. Associated problems: Drainage;Waterlogging. Why: long persistence; high complaint frequency; strong connection to other urban problems. Action: Inspect collection coverage and recurring dumping points; verify collection frequency."
48,Pothole,52,2024-01-22,2026-07-27,28,-0.0021634615384615,3.730769230769231,23.183024186538457,79.93538675192309,"24,26",0.682,0.0,1.0,0.0,88.51338611717253,96.29629629629628,0.0,72.9665071770335,31.16883116883117,14.306691839731489,53.69,4,88.51338611717253,96.29629629629629,0.0,72.9665071770335,31.168831168831172,14.306691839731487,Damaged Road,53.11,MEDIUM,Inspect road condition and prioritize repair at the mapped cluster.,long persistence; high severity; high complaint frequency,4,"MEDIUM priority Pothole hotspot in ward(s) 24,26: 52 complaints across 28 active months. Associated problems: Damaged Road. Why: long persistence; high severity; high complaint frequency. Action: Inspect road condition and prioritize repair at the mapped cluster."
1,Damaged Road,53,2024-01-25,2026-08-19,26,0.006750401150888,3.7547169811320753,23.185198464150947,79.93587141886793,"24,26,40",0.0,0.682,0.0,1.0,89.21419353087734,88.88888888888889,1.1250668584813468,73.71129367157174,37.76223776223775,14.306691839731489,53.46,5,89.21419353087734,88.88888888888889,1.125066858481333,73.71129367157174,37.76223776223775,14.306691839731487,Pothole,52.71,MEDIUM,Inspect road condition and prioritize repair at the mapped cluster.,long persistence; high severity; high complaint frequency,5,"MEDIUM priority Damaged Road hotspot in ward(s) 24,26,40: 53 complaints across 26 active months. Associated problems: Pothole. Why: long persistence; high severity; high complaint frequency. Action: Inspect road condition and prioritize repair at the mapped cluster."
0,Damaged Road,27,2024-06-04,2026-07-25,19,0.0088888888888888,3.703703703703704,23.1774258962963,79.92988245185185,"22,24,25",1.381,1.5550000000000002,2.0,2.0,64.59014618583477,62.96296296296296,1.481481481481479,72.12475633528265,15.311004784688995,61.590098594503885,50.84,6,64.59014618583477,62.96296296296296,1.4814814814814663,72.12475633528267,15.311004784688995,61.59009859450387,Pothole,50.78,MEDIUM,Inspect road condition and prioritize repair at the mapped cluster.,high severity; long persistence; strong connection to other urban problems,6,"MEDIUM priority Damaged Road hotspot in ward(s) 22,24,25: 27 complaints across 19 active months. Associated problems: Pothole. Why: high severity; long persistence; strong connection to other urban problems. Action: Inspect road condition and prioritize repair at the mapped cluster."
50,Pothole,27,2024-07-03,2026-08-16,17,-0.0069135802469135,4.592592592592593,23.2054904037037,79.94893723333334,61,0.0,0.0,0.0,0.0,64.59014618583477,55.55555555555556,0.0,99.76962608541557,21.3903743315508,0.0,43.72,7,64.59014618583477,55.55555555555556,0.0,99.76962608541557,21.3903743315508,0.0,,42.89,MEDIUM,Inspect road condition and prioritize repair at the mapped cluster.,high severity; long persistence; high complaint frequency,7,MEDIUM priority Pothole hotspot in ward(s) 61: 27 complaints across 17 active months. Associated problems: none detected. Why: high severity; long persistence; high complaint frequency. Action: Inspect road condition and prioritize repair at the mapped cluster.
28,Garbage Collection,47,2024-07-26,2026-08-16,22,0.0270449172576832,3.0,23.12254825106383,79.9033121425532,4,0.0,0.0,0.0,0.0,84.79825958995214,74.07407407407408,4.507486209613868,50.23923444976077,41.32231404958677,0.0,43.45,8,84.79825958995214,74.07407407407408,4.507486209613865,50.23923444976077,41.32231404958677,0.0,,42.39,MEDIUM,Inspect collection coverage and recurring dumping points; verify collection frequency.,long persistence; high complaint frequency; high severity,8,MEDIUM priority Garbage Collection hotspot in ward(s) 4: 47 complaints across 22 active months. Associated problems: none detected. Why: long persistence; high complaint frequency; high severity. Action: Inspect collection coverage and recurring dumping points; verify collection frequency.
75,Waterlogging,15,2024-06-01,2024-09-26,4,-0.0266666666666668,3.333333333333333,23.21212338,79.90567012000001,72,0.711,2.195,1.0,3.0,43.6089723007337,7.4074074074074066,0.0,60.606060606060616,100.0,60.96077197398784,42.89,9,43.6089723007337,7.4074074074074066,0.0,60.60606060606061,100.0,60.960771973987825,Drainage,42.34,MEDIUM,"Inspect drainage network, blockage points and recurring water-accumulation locations.",strong connection to other urban problems; high severity; high concentration,9,"MEDIUM priority Waterlogging hotspot in ward(s) 72: 15 complaints across 4 active months. Associated problems: Drainage. Why: strong connection to other urban problems; high severity; high concentration. Action: Inspect drainage network, blockage points and recurring water-accumulation locations."
46,Pothole,22,2024-07-08,2025-11-12,13,-0.0018939393939393,4.045454545454546,23.1773255,79.92875887727273,"22,25",0.791,0.704,1.0,1.0,57.215063177915546,40.74074074074074,0.0,82.75337103088302,25.174825174825173,31.361443255716388,42.66,10,57.215063177915546,40.74074074074074,0.0,82.75337103088302,25.174825174825173,31.36144325571638,Damaged Road,42.07,MEDIUM,Inspect road condition and prioritize repair at the mapped cluster.,high severity; high complaint frequency; long persistence,10,"MEDIUM priority Pothole hotspot in ward(s) 22,25: 22 complaints across 13 active months. Associated problems: Damaged Road. Why: high severity; high complaint frequency; long persistence. Action: Inspect road condition and prioritize repair at the mapped cluster."
