ward_number,ward_name,feature_count,centroid_latitude,centroid_longitude,point_inside_latitude,point_inside_longitude
1,Ballabh Ganj Gandhi Ganj / Garha Ward,2,23.1597237,79.913455,23.1660758,79.8924962
2,Bazaar Area / Swami Virendrapuri Ward,2,23.1419234,79.9352192,23.1383743,79.9481149
3,Aruna Ganj / Tripuri Ward,2,23.1356621,79.8858231,23.13041,79.8678767
4,Shankar Shah Nagar Ward / Tilak Ganj Gopal Ganj,2,23.1316279,79.9214367,23.1514764,79.9443298
5,Pts Area / Sardar Ballabh Bhai Patel,2,23.1288244,79.8906019,23.1297852,79.8805652
6,Indira Gandhi Ward / Nalanda,2,23.1520396,79.9627097,23.149296,79.968112
7,Army Area / Indira Gandhi Ward,2,23.1542111,79.9762388,23.1516086,79.9875964
8,Gwari Ghat Ward,1,23.1128687,79.9191366,23.1138571,79.9202136
9,Dada Baburao Paranjape Ward,1,23.1260765,79.931017,23.1276066,79.9293796
10,Gupteshwar Ward,1,23.1513423,79.9202411,23.1504706,79.9203917
11,Giriraj Kishore Ward,1,23.145672,79.9182596,23.1457956,79.9177502
12,George Da Silva Ward,1,23.1537234,79.9327607,23.1534454,79.9328687
13,Banarsidas Banot Ward,1,23.1487528,79.927895,23.1485639,79.927889
14,Narsingh Ward,1,23.1578444,79.9193303,23.1583691,79.918211
15,Madan Mahal Ward,1,23.1513502,79.906693,23.1523439,79.907197
16,Maharana Pratap Ward,1,23.1629004,79.8806532,23.1638519,79.8788231
17,Rani Durgavati Ward,1,23.1580961,79.9018133,23.1579086,79.901238
18,Shahid Gulab Singh Ward,1,23.136291,79.905351,23.1366952,79.9078006
19,Kamla Nehru Nagar Ward,1,23.1726477,79.9043954,23.1730804,79.9009826
20,Karturba Gandhi Ward,1,23.1742017,79.92097,23.174435,79.9226912
21,Swami Vivekanand Ward,1,23.1789947,79.9090785,23.179,79.9099498
22,Jawaharganj Ward,1,23.1751864,79.9327192,23.1755889,79.9343826
23,Lokmanya Balgangadhar Tilak Ward,1,23.1716666,79.9382747,23.171472,79.9415995
24,Hanuman Tal Ward,1,23.1802521,79.9361248,23.180161,79.9353255
25,Mahatma Gandhi Ward,1,23.1772524,79.9283315,23.1772717,79.9287639
26,Govind Vallabh Pant Ward,1,23.1864705,79.9343359,23.1866718,79.9334075
27,Cherital Ward,1,23.1823649,79.9251607,23.1826134,79.9249
28,Jai Prakash Ward,1,23.1855489,79.9198499,23.1856596,79.9219789
29,Rammanohar Lohiya Ward,1,23.1988301,79.9203333,23.1976965,79.9207654
30,Pt. Deendayal Upadhyay Ward,1,23.2016929,79.9114789,23.2008804,79.9117883
31,Rajiv Gandhi Ward,1,23.1959885,79.9272727,23.1961886,79.9264446
32,Subhadra Kumari Chauhan,1,23.1629998,79.9254601,23.162616,79.9239007
33,Swami Dayanad Saraswati Ward,1,23.1623548,79.9380945,23.1614323,79.9374907
34,Bhawani Prasad Tiwari,1,23.169342,79.9310645,23.1686047,79.930419
35,Maharaja Agrasen Ward,1,23.1895421,79.9094573,23.1906369,79.9092755
36,Pt. Mohm. Abdul Kalam Azaad Ward,1,23.184261,79.9393051,23.1845828,79.939171
37,Dr.Rajendra Prasad,1,23.1826088,79.9304087,23.182364,79.9303941
38,Motilal Nehru,1,23.1948347,79.9393105,23.1943491,79.9382046
39,Chitranjan Ward,1,23.1961506,79.9334065,23.1953543,79.9328168
40,Dr. Jakir Hussain Ward,1,23.1894537,79.9382491,23.1894262,79.9376479
41,Sanjay Gandhi Ward,1,23.1931086,79.9508551,23.1931532,79.9507369
42,Subashchandra Bose Ward,1,23.1951403,79.9587522,23.1948018,79.959835
43,Dr. Shyamaprasad Mukharji Ward,1,23.171758,79.9582644,23.1712766,79.9588445
44,Acharya Vinobha Bhave Ward,1,23.1810887,79.9552736,23.1812975,79.955398
45,Shitla Mai Ward,1,23.1776596,79.9539829,23.1773166,79.9537027
46,Pt. Dwarika Prasad Ward,1,23.1838286,79.9634969,23.1838545,79.9628075
47,Seth Govind Das Ward,1,23.1909735,79.9648406,23.1902834,79.964282
48,Siddhababa Ward,1,23.1866182,79.9573162,23.1869573,79.9574741
49,Lalbahadur Shashtri Ward,1,23.1893998,79.9472572,23.1897016,79.9470894
